TIME_STAMPE,EPX_TRAJ_FRONTEND,EXP_TRAJ_OPT,GENERATE_EXP_TRAJ,BACK_TRAJ_FRONTEND,BACK_TRAJ_OPT,GENERATE_BACK_TRAJ,TOTAL_REPLAN,VISUALIZATION
18.742, 0.00211104, 0.00192933, 0.00410823, 0.000895128, 0.00334663, 0.00427477, 0.00863393, 0.00031246
18.8091, 0.00306621, 0.00161002, 0.00476731, 0.0013815, 0.0025695, 0.0039893, 0.009039, 0.00039303
18.8772, 0.0036748, 0.00174272, 0.00549927, 0.00123803, 0.00347137, 0.00474835, 0.0105019, 0.000360729
18.9405, 0.00213054, 0.0018325, 0.00403029, 0.000880669, 0.00202926, 0.00293899, 0.0071599, 0.000297959
19.012, 0.00325061, 0.00313104, 0.00647321, 0.00149231, 0.00365034, 0.00519077, 0.0119215, 0.000449209
19.0787, 0.00266507, 0.00244345, 0.00519158, 0.00126395, 0.00520136, 0.00651256, 0.0119945, 0.00037754
19.1441, 0.00290953, 0.00195431, 0.00493197, 0.00113732, 0.00438593, 0.00556275, 0.0107011, 0.00037127
19.2093, 0.00205727, 0.00271352, 0.00484585, 0.000892629, 0.00325276, 0.0041833, 0.00931025, 0.00035034
19.2742, 0.00137927, 0.0018177, 0.00325912, 0.000743368, 0.00327633, 0.00404586, 0.00751734, 0.000263779
19.3467, 0.00212899, 0.00327292, 0.00547691, 0.000858518, 0.00668581, 0.00758846, 0.0133433, 0.000361328
19.4323, 0.00199874, 0.0256744, 0.0277559, 0.000823348, 0.00334834, 0.00422086, 0.0322487, 0.00036248
19.476, 0.00163895, 0.00192828, 0.00363432, 0.000761089, 0.00469468, 0.00549127, 0.00934693, 0.00032016
19.5426, 0.00219434, 0.00320623, 0.00549118, 0.000837318, 0.00265472, 0.00352249, 0.00926198, 0.000367729
19.6117, 0.00228092, 0.00305404, 0.00541138, 0.00117078, 0.00474285, 0.00594971, 0.0116506, 0.000425188
19.6761, 0.0020669, 0.00290678, 0.00504656, 0.00105395, 0.00299785, 0.0040958, 0.00939461, 0.000349308
19.7432, 0.00218079, 0.00362161, 0.00586712, 0.000728859, 0.00302734, 0.00378841, 0.00987996, 0.00030583
19.8087, 0.00227777, 0.00196576, 0.00433321, 0.00113882, 0.00295471, 0.00412367, 0.00869141, 0.0003741
