Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.000382538, 0.000102929, 0.000278479, 0.000183519, 3179, 1497, 19680
0.000350642, 9.8517e-05, 0.000246334, 0.000163107, 2845, 1407, 18204
0.00033793, 9.6237e-05, 0.000240673, 0.00015736, 2857, 1424, 16605
0.000228161, 0.000102788, 0.000124321, 5.783e-05, 2865, 1414, 4920
0.000242863, 0.000110319, 0.000131404, 6.1601e-05, 2896, 1431, 5658
0.000298722, 9.0806e-05, 0.000204116, 0.00012889, 2774, 1362, 13530
0.000220549, 9.6187e-05, 0.000123242, 6.2081e-05, 2862, 1397, 5781
0.000141695, 9.5076e-05, 4.5568e-05, 0, 2860, 1401, 0
0.000145646, 9.7077e-05, 4.7548e-05, 0, 2859, 1401, 0
0.000222239, 9.3536e-05, 0.000125832, 6.4028e-05, 2838, 1388, 6027
0.000140535, 9.4017e-05, 4.5708e-05, 0, 2765, 1362, 0
0.00017059, 0.00011345, 5.623e-05, 0, 2859, 1401, 0
0.000146896, 9.8488e-05, 4.7438e-05, 0, 2892, 1414, 0
0.000142315, 9.4917e-05, 4.6398e-05, 0, 2848, 1388, 0
0.000144635, 9.6827e-05, 4.6828e-05, 0, 2853, 1405, 0
0.000196444, 0.000137284, 5.794e-05, 0, 2764, 1370, 0
0.000182332, 9.2966e-05, 8.8596e-05, 3.3455e-05, 2830, 1395, 2952
0.000142935, 9.4276e-05, 4.7749e-05, 0, 2892, 1414, 0
0.000186352, 8.9416e-05, 9.5886e-05, 4.0377e-05, 2786, 1368, 3444
0.000158197, 0.000103858, 5.3389e-05, 0, 2774, 1362, 0
0.000160969, 0.000107848, 5.2079e-05, 0, 2858, 1401, 0
0.000160778, 8.9546e-05, 7.0362e-05, 2.0625e-05, 2799, 1363, 1599
0.000139604, 9.3906e-05, 4.4868e-05, 0, 2853, 1405, 0
0.000143595, 9.4267e-05, 4.8208e-05, 0, 2815, 1384, 0
0.000143985, 9.5337e-05, 4.7738e-05, 0, 2894, 1447, 0
0.000149006, 9.8467e-05, 4.9529e-05, 0, 2849, 1421, 0
0.000142955, 9.5217e-05, 4.6898e-05, 0, 2865, 1414, 0
0.00017191, 0.000114549, 5.628e-05, 0, 2896, 1431, 0
0.000152546, 9.8597e-05, 5.2299e-05, 0, 2784, 1369, 0
0.000141995, 9.3546e-05, 4.7599e-05, 0, 2862, 1397, 0
0.000142374, 9.3776e-05, 4.7678e-05, 0, 2782, 1377, 0
0.000143125, 9.6347e-05, 4.5988e-05, 0, 2787, 1384, 0
0.000152297, 9.7797e-05, 4.9149e-05, 0, 2899, 1451, 0
0.000132613, 8.7816e-05, 4.4017e-05, 0, 2780, 1362, 0
0.000130782, 8.4974e-05, 4.5058e-05, 0, 2765, 1362, 0
0.000155837, 0.000101037, 5.393e-05, 0, 2832, 1388, 0
0.000155487, 0.000104728, 4.9808e-05, 0, 2848, 1388, 0
0.000129592, 8.5384e-05, 4.3308e-05, 0, 2762, 1362, 0
0.00017116, 0.00011786, 5.2259e-05, 0, 2780, 1362, 0
0.000129512, 8.4915e-05, 4.3767e-05, 0, 2798, 1378, 0
0.000137554, 8.8775e-05, 4.7709e-05, 0, 2764, 1370, 0
0.000151756, 0.000102378, 4.8348e-05, 0, 2854, 1409, 0
0.000142954, 9.5516e-05, 4.6198e-05, 0, 2780, 1362, 0
0.000167488, 0.000102718, 5.5459e-05, 0, 2798, 1378, 0
0.000159678, 0.000104168, 5.447e-05, 0, 2815, 1384, 0
0.000305552, 9.6276e-05, 0.000207606, 0.000132599, 2935, 1425, 13161
0.000261554, 9.9127e-05, 0.000161557, 9.3147e-05, 3417, 1517, 9594
0.000385916, 0.000111979, 0.000273147, 0.00016902, 4467, 1775, 16359
0.000381425, 0.000139094, 0.000241561, 0.000149044, 5623, 1967, 17712
0.000868388, 0.000164848, 0.000340478, 0.000226862, 6782, 2265, 31365
0.000881652, 0.00017722, 0.000357122, 0.000231942, 7428, 2475, 32841
0.00257159, 0.000201494, 0.000384685, 0.000499011, 7734, 2567, 79827
0.00180835, 0.000309163, 0.000528411, 0.000348273, 7660, 2627, 35793
0.00135751, 0.000182552, 0.000482923, 0.000306692, 7577, 2700, 30258
0.00282378, 0.00017926, 0.000322375, 0.000535759, 7185, 2660, 86838
0.00140996, 0.0001768, 0.0003524, 0.000225131, 6998, 2877, 29643
0.00146302, 0.000190873, 0.000390216, 0.000257423, 7619, 3121, 34440
0.00350817, 0.000229459, 0.000442216, 0.000733995, 8744, 3574, 128535
0.00321845, 0.000284458, 0.000667134, 0.00046223, 10689, 4474, 70479
0.00225522, 0.000362702, 0.000828371, 0.000536735, 14065, 5212, 78474
0.00249647, 0.000522559, 0.000969155, 0.000653262, 21197, 6006, 103566
0.00302941, 0.000751158, 0.00112513, 0.00074674, 41503, 6918, 140835
0.00489866, 0.00106856, 0.00159938, 0.00112003, 62269, 7987, 220908
0.00424206, 0.0012477, 0.00202129, 0.00135854, 73064, 10243, 271215
0.00471898, 0.00141743, 0.00242995, 0.00166887, 82594, 12295, 343908
0.00661132, 0.00151953, 0.00282255, 0.00192027, 85445, 13880, 402333
